version,filename,review_reasons
20260525130000,20260525130000_cafe_orders_recalc_on_adjustment.sql,"function missing: tg_cafe_orders_recalc_total; trigger missing: cafe_orders_recalc_total"
20260525130001,20260525130001_cafe_promotions.sql,"type missing: public"
20260525160000,20260525160000_cafe_inventory_movements.sql,"type missing: public"
20260525180000,20260525180000_cafe_purchase_orders.sql,"data effects (INSERT/UPDATE/DELETE); type missing: public"
20260525183303,20260525183303_ride_bakong_payment_idempotency.sql,"statement classes outside the verifier; unrecognized ALTER TABLE actions; index missing: ride_requests_bakong_reference_key (on ride_requests)"
20260525185220,20260525185220_ride_request_lifecycle_columns.sql,"statement classes outside the verifier; index missing: idx_ride_requests_cancelled_at (on ride_requests); index missing: idx_ride_requests_completed_at (on ride_requests)"
20260525192409,20260525192409_admin_driver_payout_methods.sql,"statement classes outside the verifier; policy missing: customer_payout_methods|Admins can view payout methods"
20260525200000,20260525200000_cafe_shifts.sql,"type missing: public"
20260525210000,20260525210000_cafe_order_completion_hooks.sql,"data effects (INSERT/UPDATE/DELETE)"
20260525220000,20260525220000_cafe_checkout_tip_and_promo.sql,"data effects (INSERT/UPDATE/DELETE); dropped function still live: cafe_place_public_order"
20260525230000,20260525230000_cafe_public_review_rpc.sql,"data effects (INSERT/UPDATE/DELETE)"
20260525240000,20260525240000_cafe_checkout_gift_card.sql,"data effects (INSERT/UPDATE/DELETE); dropped function still live: cafe_place_public_order"
20260525260000,20260525260000_cafe_public_order_status_eta.sql,"dropped function still live: cafe_public_order_status"
20260525270000,20260525270000_cafe_loyalty_redeem_at_checkout.sql,"data effects (INSERT/UPDATE/DELETE); dropped function still live: cafe_place_public_order"
20260525290000,20260525290000_cafe_scheduled_orders.sql,"data effects (INSERT/UPDATE/DELETE); dropped function still live: cafe_place_public_order"
20260525300000,20260525300000_cafe_settings.sql,"dropped policy still live: cafe_settings|cafe_settings_select_all; dropped policy still live: cafe_settings|cafe_settings_owner_manage"
20260525320000,20260525320000_cafe_till_sessions.sql,"dropped policy still live: cafe_till_sessions|cafe_till_sessions_owner_manage"
20260525340000,20260525340000_cafe_rpc_reject_sold_out.sql,"data effects (INSERT/UPDATE/DELETE)"
20260525370000,20260525370000_cafe_inventory_realtime.sql,"unrecognized ALTER TABLE actions"
20260525400001,20260525400001_car_rental_initial.sql,"statement classes outside the verifier; unrecognized ALTER TABLE actions; policy missing: public|Owners manage %1$s - select"
20260525410000,20260525410000_cafe_till_drops.sql,"dropped policy still live: cafe_till_drops|cafe_till_drops_owner_manage"
20260525410001,20260525410001_car_rental_expenses_maintenance.sql,"policy missing: public|Owners manage %1$s - select; policy missing: public|Owners manage %1$s - insert; policy missing: public|Owners manage %1$s - update"
20260525420001,20260525420001_car_rental_reviews_promotions.sql,"policy missing: public|Owners manage %1$s - select; policy missing: public|Owners manage %1$s - insert; policy missing: public|Owners manage %1$s - update"
20260525430000,20260525430000_cafe_tip_payouts.sql,"dropped policy still live: cafe_tip_payouts|cafe_tip_payouts_owner_manage; dropped policy still live: cafe_tip_payout_lines|cafe_tip_payout_lines_owner_manage"
20260525430001,20260525430001_car_rental_blackouts.sql,"statement classes outside the verifier; unrecognized ALTER TABLE actions; constraint missing: car_rental_vehicle_blackouts|car_rental_blackouts_no_overlap"
20260525450001,20260525450001_car_rental_compliance_and_tax.sql,"policy missing: car_rental_settings|Owners manage car-rental settings - all; trigger missing: car_rental_settings_set_updated_at"
20260525460000,20260525460000_cafe_reservations.sql,"dropped policy still live: cafe_reservations|cafe_reservations_owner_manage; type missing: public"
20260525470000,20260525470000_cafe_public_reservation_rpc.sql,"data effects (INSERT/UPDATE/DELETE)"
20260525480000,20260525480000_cafe_reservations_realtime.sql,"unrecognized ALTER TABLE actions"
20260525490000,20260525490000_cafe_customer_notes.sql,"dropped policy still live: cafe_customer_notes|cafe_customer_notes_owner_manage"
20260525500001,20260525500001_car_dealership_initial.sql,"policy missing: public|Owners manage %1$s - select; policy missing: public|Owners manage %1$s - insert; policy missing: public|Owners manage %1$s - update"
20260525510001,20260525510001_car_dealership_promotions.sql,"policy missing: car_dealership_promotions|cd_promos_owner_select; policy missing: car_dealership_promotions|cd_promos_public_read; dropped policy still live: car_dealership_promotions|cd_promos_owner_insert"
20260525520000,20260525520000_cafe_rpc_happy_hour.sql,"data effects (INSERT/UPDATE/DELETE)"
20260525530000,20260525530000_cafe_bundles.sql,"dropped policy still live: cafe_bundles|cafe_bundles_select_all; dropped policy still live: cafe_bundles|cafe_bundles_owner_manage; dropped policy still live: cafe_bundle_items|cafe_bundle_items_select_all"
20260525530001,20260525530001_car_dealership_deal_documents.sql,"statement classes outside the verifier"
20260525540000,20260525540000_cafe_rpc_bundles.sql,"data effects (INSERT/UPDATE/DELETE)"
20260525540001,20260525540001_car_dealership_public_reviews.sql,"statement classes outside the verifier; policy missing: car_dealership_reviews|Public submit dealership review"
20260525560001,20260525560001_car_dealership_schedule_public_test_drive_rpc.sql,"data effects (INSERT/UPDATE/DELETE)"
20260526000000,20260526000000_cafe_bundle_window.sql,"unrecognized ALTER TABLE actions"
20260526000001,20260526000001_salon_stylist_stripe_connect.sql,"unrecognized ALTER TABLE actions; function missing: salon_public_get_stylist_connect_status; function missing: salon_public_get_stylist_earnings"
20260526010000,20260526010000_cafe_rpc_bundle_window_check.sql,"data effects (INSERT/UPDATE/DELETE)"
20260526020000,20260526020000_cafe_public_order_status_with_slug.sql,"dropped function still live: cafe_public_order_status"
20260526060000,20260526060000_cafe_public_order_status_currency.sql,"dropped function still live: cafe_public_order_status"
20260526070000,20260526070000_cafe_order_item_voids.sql,"data effects (INSERT/UPDATE/DELETE); dropped policy still live: cafe_order_item_voids|cafe_order_item_voids_owner_read; dropped policy still live: cafe_order_item_voids|cafe_order_item_voids_no_direct_insert"
